laborant_ID,subject_ID,handlengte,handbreedte,sexe
0674_q,1,17.6,9.1,m
5059_r,1,17,8.9,m
0674_q,2,16.6,9.2,m
5059_r,2,16.5,8.6,m
0674_q,3,18.2,9,m
5059_r,3,18,8.5,m
0674_q,4,16.8,7.6,v
5059_r,4,16,7.5,v
0674_q,5,16.8,8.2,v
5059_r,5,18,7.7,v
0674_q,6,16.7,9.3,v
5059_r,6,16,7.6,v
0674_q,7,19.2,9.3,m
5059_r,7,18,9.4,m
0674_q,8,17.9,8.6,m
5059_r,8,17,8.9,m
0674_q,9,19.5,8.6,m
5059_r,9,18.1,8.6,m
0674_q,10,16.8,7.8,v
5059_r,10,16.7,7.4,v
0674_q,11,16.8,8.2,v
5059_r,11,16,7.7,v
0674_q,12,17,7.9,v
5059_r,12,16,8,v
0674_q,13,17,8,v
5059_r,13,15.8,8,v
0674_q,14,16.8,7.8,v
5059_r,14,17.6,7.7,v
0674_q,15,16,8.3,m
5059_r,15,18,8,m
0674_q,16,15.4,7.9,v
5059_r,16,15.7,7.6,v
0674_q,17,17.3,9.2,m
5059_r,17,17.4,9,m
0674_q,18,18.8,9.7,m
5059_r,18,18.7,8.8,m
0674_q,19,18.8,8.5,m
5059_r,19,19,9,m
0674_q,20,19.8,8.2,m
5059_r,20,19.9,8,m
0674_q,21,17.8,8,m
5059_r,21,15.4,8.4,m
0674_q,22,19.8,9,m
5059_r,22,18,9.8,m
0674_q,23,17.8,8.4,m
5059_r,23,17.4,9.6,m
0674_q,24,19.5,9.5,m
5059_r,24,19.3,9.6,m
0674_q,25,17,8,m
5059_r,25,17.3,6.2,m
0674_q,26,17.4,8.5,v
5059_r,26,16.5,7,v
0674_q,27,17,11,v
5059_r,27,18.2,9,v
0674_q,28,17,9,m
5059_r,28,18.6,10.1,m
0674_q,29,16,11,m
5059_r,29,16.3,10.7,m
0674_q,30,16.6,9.3,v
5059_r,30,15,8.5,v
0674_q,31,17.6,8.6,v
5059_r,31,17,10,v
0674_q,32,17.8,8.6,v
5059_r,32,18,8.5,v
0674_q,33,18.2,9.2,m
5059_r,33,18,9,m
0674_q,34,20.4,9.2,m
5059_r,34,20,10,m
0674_q,35,18.5,7.5,m
5059_r,35,19,9,m
0674_q,36,17.3,9.2,m
5059_r,36,20,9.2,m
0674_q,37,18.2,9.2,m
5059_r,37,19,8.5,m
0674_q,38,19,10,v
5059_r,38,19.2,9,v
0674_q,39,16.5,10,v
5059_r,39,17.4,8.5,v
0674_q,40,19.5,11,m
5059_r,40,19.5,9,m